Buy Now,Buy Now
Automation options,Automation options
"Show last added products, items","Show last added products, items"
"Show random instock products, items","Show random instock products, items"
Consider category for the automation options,Consider category for the automation options
Display options,Display options
Display type,Display type
"Container width (px, 450 by default)","Container width (px, 450 by default)"
"Slideshow delay (sec, 5 by default)","Slideshow delay (sec, 5 by default)"
"Image width (px, original size or auto scale by default)","Image width (px, original size or auto scale by default)"
"Image height (px, original size or auto scale by default)","Image height (px, original size or auto scale by default)"
Use image thumbnails,Use image thumbnails
Use image tooltip,Use image tooltip
No,No
Yes,Yes
